image/vnd.fujixerox.edmics-rlc rlc
image/x-cmu-raster ras
image/x-rgb rgb
text/richtext rtx
text/troff roff
application/atsc-rsat+xml rsat
application/p2p-overlay+xml relo
application/raml+yaml raml
application/route-apd+xml rapd
application/route-usd+xml rusd
application/urc-ressheet+xml rsheet
application/x-makeself run
application/x-redhat-package-manager rpm
application/xml rng
application/force-download reg
application/rtc rtc
application/vnd.rar rev
application/vnd.rar r00
application/vnd.rar r01
application/tei+xml tei
application/tei+xml teicorpus
application/thraud+xml tfi
application/timestamped-data tsd
application/vnd.3gpp2.tcap tcap
application/vnd.genomatix.tuxedo txd
application/vnd.groove-tool-template tpl
application/vnd.mobius.txf txf
application/vnd.ms-officetheme thmx
application/vnd.mynfc taglet
application/vnd.simtech-mindmapper twd
application/vnd.simtech-mindmapper twds
application/vnd.smart.teacher teacher
application/vnd.tao.intent-module-archive tao
application/vnd.tmobile-livetv tmo
application/vnd.trid.tpt tpt
application/vnd.trueapp tra
application/x-bittorrent torrent
application/x-msterminal trm
application/x-t3vm-image t3
application/x-tar tar
application/x-tcl tcl
application/x-tex tex
application/x-tex-tfm tfm
application/x-texinfo texinfo
application/x-texinfo texi
font/collection ttc
font/ttf ttf
image/tiff tiff
image/tiff tif
image/x-tga tga
text/plain txt
text/plain text
text/tab-separated-values tsv
text/troff t
text/troff tr
text/turtle ttl
video/mp2t ts
application/toml toml
application/trig trig
application/ttml+xml ttml
application/urc-targetdesc+xml td
application/x-tcl tk
image/t38 t38
image/tiff-fx tfx
image/vnd.tencent.tap tap
application/dsptype tsp
application/toolbook tbk
application/x-troff-man troff
audio/tsplayer tsi
text/x-speech talk
font/ttf tte
application/vnd.adobe.formscentral.fcdt fcdt
application/vnd.adobe.fxp fxp
application/vnd.adobe.fxp fxpl
application/vnd.anser-web-funds-transfer-initiation fti
application/vnd.denovo.fcselayout-link fe_launch
application/vnd.fdf fdf
application/vnd.fluxtime.clip ftc
application/vnd.framemaker fm
application/vnd.framemaker frame
application/vnd.frogans.fnc fnc
application/vnd.fsc.weblaunch fsc
application/vnd.fujitsu.oasysgp fg5
application/vnd.fuzzysheet fzs
application/vnd.isac.fcs fcs
application/vnd.kde.kivio flw
